"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type"
"CHEMBL377061";"";"None";"401.47";"0";"4.51";"17";"COc1ccc(CNc2nc(-c3ccc(C=O)cc3)nc3c2ncn3C(C)C)cc1";"IC50";"'='";"1300.0";"nM";"5.89";"";"";"UO_0000065";"14.66";"0.27";"1.38";"7.18";"0";"CHEMBL860055";"Inhibition of Cdk5/p25";"B";"BAO_0000223";"protein complex format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1907600";"Cyclin-dependent kinase 5/CDK5 activator 1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1147833";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"None";"";""
"CHEMBL524266";"";"None";"275.29";"0";"1.24";"S-89";"Nc1nccc(-c2cc3c([nH]2)[C@@H](CCF)CNC3=O)n1";"IC50";"'='";"1620.0";"nM";"5.79";"";"";"UO_0000065";"21.03";"0.40";"4.55";"5.99";"0";"CHEMBL1022471";"Inhibition of CDK5/p25";"B";"BAO_0000223";"protein complex format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1907600";"Cyclin-dependent kinase 5/CDK5 activator 1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1139384";"1";"Scientific Literature";"J Med Chem";"2009";"None";"";""
"CHEMBL331190";"";"None";"353.33";"0";"3.25";"45";"COc1cc2c(cc1OC)-c1[nH]c3ccc([N+](=O)[O-])cc3c1CC(=O)N2";"IC50";"'='";"20.99";"nM";"7.68";"";"";"UO_0000065";"21.73";"0.40";"4.43";"7.21";"0";"CHEMBL663616";"Inhibitory activity against cyclin-dependent kinase 5/p25";"B";"BAO_0000223";"protein complex format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1907600";"Cyclin-dependent kinase 5/CDK5 activator 1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1148295";"1";"Scientific Literature";"J Med Chem";"2004";"None";"";""
"CHEMBL328627";"";"None";"355.24";"0";"4.59";"31";"CCn1c2c(c3cc(Br)ccc31)CC(=O)Nc1ccccc1-2";"IC50";"'='";"260015.96";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"0";"CHEMBL663616";"Inhibitory activity against cyclin-dependent kinase 5/p25";"B";"BAO_0000223";"protein complex format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1907600";"Cyclin-dependent kinase 5/CDK5 activator 1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1148295";"1";"Scientific Literature";"J Med Chem";"2004";"None";"";""
"CHEMBL296586";"KENPAULLONE";"None";"327.18";"0";"4.09";"4 (Kenpaullone)";"O=C1Cc2c([nH]c3ccc(Br)cc23)-c2ccccc2N1";"IC50";"'='";"850.0";"nM";"6.07";"";"";"UO_0000065";"18.55";"0.41";"1.98";"13.52";"1";"CHEMBL663595";"Inhibition of human Cyclin-dependent kinase 5-p35nck5a";"B";"BAO_0000223";"protein complex format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1907600";"Cyclin-dependent kinase 5/CDK5 activator 1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1146834";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2004";"None";"";""
"CHEMBL172540";"";"None";"280.26";"0";"3.33";"6-fluoroindirubin";"O=C1C(c2c(O)[nH]c3cc(F)ccc23)=Nc2ccccc21";"IC50";"'='";"1000.0";"nM";"6.00";"";"";"UO_0000065";"21.41";"0.39";"2.67";"9.17";"0";"CHEMBL663602";"Inhibitory activity against Cyclin-dependent kinase 5-p35nck5a";"B";"BAO_0000223";"protein complex format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1907600";"Cyclin-dependent kinase 5/CDK5 activator 1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1148469";"1";"Scientific Literature";"J Med Chem";"2004";"None";"";""
"CHEMBL239215";"";"None";"457.54";"0";"4.92";"14a";"CC(=O)Nc1cc(-c2ccccc2)c(-c2nnc3n2Nc2nc4ccccc4nc2S3)s1";"IC50";"'='";"54.0";"nM";"7.27";"";"";"UO_0000065";"15.88";"0.31";"2.35";"7.44";"0";"CHEMBL897914";"Inhibitory activity against Cdk5/p25";"B";"BAO_0000223";"protein complex format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1907600";"Cyclin-dependent kinase 5/CDK5 activator 1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1149673";"1";"Scientific Literature";"Bioorg Med Chem";"2007";"None";"";""
"CHEMBL394010";"";"None";"445.57";"1";"5.45";"4a";"CC(=O)Nc1cc(C)c(-c2nnc3n2NC(c2ccccc2)=C(c2ccccc2)S3)s1";"IC50";"'='";"44.0";"nM";"7.36";"";"";"UO_0000065";"16.51";"0.32";"1.91";"10.24";"0";"CHEMBL897914";"Inhibitory activity against Cdk5/p25";"B";"BAO_0000223";"protein complex format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1907600";"Cyclin-dependent kinase 5/CDK5 activator 1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1149673";"1";"Scientific Literature";"Bioorg Med Chem";"2007";"None";"";""
"CHEMBL394336";"";"None";"495.37";"0";"0.07";"7ag";"CC(=O)Nn1c(Cc2csc(NC(=O)CCl)n2)nnc1SCC(=O)NNC(=O)CCl";"IC50";"'='";"462.0";"nM";"6.33";"";"";"UO_0000065";"12.79";"0.29";"6.27";"3.96";"0";"CHEMBL892384";"Inhibition of human cdk5/p25 by SPA";"B";"BAO_0000223";"protein complex format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1907600";"Cyclin-dependent kinase 5/CDK5 activator 1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1147182";"1";"Scientific Literature";"Bioorg Med Chem";"2007";"None";"";""
"CHEMBL232913";"";"None";"502.58";"2";"1.54";"8l";"CC(=O)Nn1c(Cc2csc(NCCC(=O)O)n2)nnc1SCC(=O)N/N=C/c1ccccc1";"IC50";"'='";"635.0";"nM";"6.20";"";"";"UO_0000065";"12.33";"0.25";"4.66";"3.79";"0";"CHEMBL892384";"Inhibition of human cdk5/p25 by SPA";"B";"BAO_0000223";"protein complex format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1907600";"Cyclin-dependent kinase 5/CDK5 activator 1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1147182";"1";"Scientific Literature";"Bioorg Med Chem";"2007";"None";"";""
"CHEMBL398390";"";"None";"438.92";"0";"2.54";"2d";"O=C(O)CCNc1nc(Cc2nnc(S)n2NC(=O)c2ccc(Cl)cc2)cs1";"IC50";"'='";"462.0";"nM";"6.33";"";"";"UO_0000065";"14.43";"0.31";"3.80";"5.19";"0";"CHEMBL892384";"Inhibition of human cdk5/p25 by SPA";"B";"BAO_0000223";"protein complex format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1907600";"Cyclin-dependent kinase 5/CDK5 activator 1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1147182";"1";"Scientific Literature";"Bioorg Med Chem";"2007";"None";"";""
"CHEMBL570262";"";"None";"299.37";"0";"3.19";"12";"COc1ccc(CC(=O)Nc2cn(C3CCCC3)cn2)cc1";"IC50";"'='";"154.0";"nM";"6.81";"";"";"UO_0000065";"22.76";"0.42";"3.62";"12.13";"0";"CHEMBL1048133";"Inhibition of CDK5/p25 by scintillation proximity assay";"B";"BAO_0000223";"protein complex format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1907600";"Cyclin-dependent kinase 5/CDK5 activator 1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1156006";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2009";"None";"";""
"CHEMBL569584";"";"None";"313.40";"0";"3.58";"13";"COc1ccc(CC(=O)Nc2cn(C3CCCCC3)cn2)cc1";"IC50";"'='";"748.0";"nM";"6.13";"";"";"UO_0000065";"19.55";"0.36";"2.55";"10.91";"0";"CHEMBL1048133";"Inhibition of CDK5/p25 by scintillation proximity assay";"B";"BAO_0000223";"protein complex format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1907600";"Cyclin-dependent kinase 5/CDK5 activator 1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1156006";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2009";"None";"";""
"CHEMBL576126";"";"None";"343.38";"0";"2.20";"17";"COc1ccc(CC(=O)Nc2cn([C@H]3C[C@@H](C(=O)OC)C3)cn2)cc1";"IC50";"'='";"145.0";"nM";"6.84";"";"";"UO_0000065";"19.92";"0.37";"4.64";"8.29";"0";"CHEMBL1048133";"Inhibition of CDK5/p25 by scintillation proximity assay";"B";"BAO_0000223";"protein complex format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1907600";"Cyclin-dependent kinase 5/CDK5 activator 1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1156006";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2009";"None";"";""
"CHEMBL583658";"";"None";"439.52";"0";"4.05";"28";"Cc1cccc(C(=O)N[C@H]2C[C@@H](n3cnc(NC(=O)Cc4cccc5ccccc45)c3)C2)n1";"IC50";"'='";"230.0";"nM";"6.64";"";"";"UO_0000065";"15.10";"0.27";"2.59";"7.47";"0";"CHEMBL1048147";"Inhibition of human CDK5/p25 expressed in CHO cells after 2 hrs by whole cell assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL1907600";"Cyclin-dependent kinase 5/CDK5 activator 1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1156006";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2009";"CHEMBL3308072";"";""
"CHEMBL419054";"";"None";"367.33";"0";"4.89";"42";"N#C/C=C/c1ccc2c(c1)-c1[nH]c3ccc(C(F)(F)F)cc3c1CC(=O)N2";"IC50";"'='";"9506.05";"nM";"5.02";"";"";"UO_0000065";"13.67";"0.25";"0.13";"7.31";"0";"CHEMBL663616";"Inhibitory activity against cyclin-dependent kinase 5/p25";"B";"BAO_0000223";"protein complex format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1907600";"Cyclin-dependent kinase 5/CDK5 activator 1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1148295";"1";"Scientific Literature";"J Med Chem";"2004";"None";"";""
"CHEMBL133712";"";"None";"303.32";"0";"4.56";"5b";"CC(=O)c1cnc2oc3ccc(O)cc3c2c1-c1ccccc1";"IC50";"";"";"nM";"";"";"Not Determined";"UO_0000065";"";"";"";"";"0";"CHEMBL665012";"Inhibition of Cyclin-dependent kinase 5 (CDK5) (Not Determined)";"B";"BAO_0000223";"protein complex format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1907600";"Cyclin-dependent kinase 5/CDK5 activator 1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1145780";"1";"Scientific Literature";"J Med Chem";"2003";"None";"";""
"CHEMBL1802855";"";"None";"358.40";"0";"0.51";"L15";"CN1C(=O)/C(=C/c2ccc3c(c2)OCO3)N=C1NCCN1CCOCC1";"IC50";"'='";"4000.0";"nM";"5.40";"";"";"UO_0000065";"15.06";"0.28";"4.89";"7.14";"0";"CHEMBL1805103";"Inhibition of human recombinant CDK5/p25";"B";"BAO_0000223";"protein complex format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1907600";"Cyclin-dependent kinase 5/CDK5 activator 1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1800025";"1";"Scientific Literature";"J Med Chem";"2011";"None";"";""
