"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type"
"CHEMBL405200";"";"None";"212.21";"0";"1.73";"11, meriolin 13";"Oc1ccnc2[nH]cc(-c3ccncn3)c12";"IC50";"'='";"700.0";"nM";"6.16";"";"";"UO_0000065";"29.00";"0.53";"4.42";"8.24";"0";"CHEMBL947133";"Inhibition of recombinant GST-CDK5/p25 expressed in Escherichia coli";"B";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1907600";"Cyclin-dependent kinase 5/CDK5 activator 1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1141564";"1";"Scientific Literature";"J Med Chem";"2008";"None";"";""
"CHEMBL406102";"MERIOLIN 8";"None";"241.25";"0";"1.32";"9, meriolin 8";"Cn1cc(-c2ccnc(N)n2)c2c(O)ccnc21";"IC50";"'='";"5500.0";"nM";"5.26";"";"";"UO_0000065";"21.80";"0.40";"3.94";"5.85";"0";"CHEMBL947133";"Inhibition of recombinant GST-CDK5/p25 expressed in Escherichia coli";"B";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1907600";"Cyclin-dependent kinase 5/CDK5 activator 1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1141564";"1";"Scientific Literature";"J Med Chem";"2008";"None";"";""
"CHEMBL405665";"MERIOLIN 1";"None";"211.23";"0";"1.60";"1, meriolin 1";"Nc1nccc(-c2c[nH]c3ncccc23)n1";"IC50";"'='";"510.0";"nM";"6.29";"";"";"UO_0000065";"29.79";"0.54";"4.69";"7.82";"1";"CHEMBL947133";"Inhibition of recombinant GST-CDK5/p25 expressed in Escherichia coli";"B";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1907600";"Cyclin-dependent kinase 5/CDK5 activator 1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1141564";"1";"Scientific Literature";"J Med Chem";"2008";"None";"";""
"CHEMBL583658";"";"None";"439.52";"0";"4.05";"28";"Cc1cccc(C(=O)N[C@H]2C[C@@H](n3cnc(NC(=O)Cc4cccc5ccccc45)c3)C2)n1";"IC50";"'='";"230.0";"nM";"6.64";"";"";"UO_0000065";"15.10";"0.27";"2.59";"7.47";"0";"CHEMBL1048147";"Inhibition of human CDK5/p25 expressed in CHO cells after 2 hrs by whole cell assay";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"CHO";"None";"";"";"";"CHEMBL1907600";"Cyclin-dependent kinase 5/CDK5 activator 1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1156006";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2009";"CHEMBL3308072";"";""
"CHEMBL74015";"";"None";"201.25";"0";"2.64";"2";"c1csc(-c2cc3[nH]ccnc-3n2)c1";"IC50";"'='";"2000.0";"nM";"5.70";"";"";"UO_0000065";"28.32";"0.56";"3.06";"13.71";"0";"CHEMBL663599";"Inhibitory activity against recombinant mammalian cyclin-dependent kinase 5 (p35 NCK5a) expressed in Escherichia coli";"B";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1907600";"Cyclin-dependent kinase 5/CDK5 activator 1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1145099";"1";"Scientific Literature";"J Med Chem";"2003";"None";"";""
"CHEMBL3736271";"";"None";"452.59";"0";"4.94";"16m";"CN1CCN(c2ccc3nc(-c4ccc(-c5ccccc5)s4)c(-c4ccncc4)n3n2)CC1";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3736772";"Inhibition of human recombinant CDK5/P25 expressed in Escherichia coli using histone H1 substrate after 30 mins by scintillation and luminescence counting method in presence of [gamma-33P]ATP";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1907600";"Cyclin-dependent kinase 5/CDK5 activator 1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL3734718";"1";"Scientific Literature";"Eur J Med Chem";"2015";"None";"";""
"CHEMBL3734983";"";"None";"427.54";"0";"3.82";"16e";"CN1CCN(c2ccc3nc(-c4ccc5ncsc5c4)c(-c4ccncc4)n3n2)CC1";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3736772";"Inhibition of human recombinant CDK5/P25 expressed in Escherichia coli using histone H1 substrate after 30 mins by scintillation and luminescence counting method in presence of [gamma-33P]ATP";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1907600";"Cyclin-dependent kinase 5/CDK5 activator 1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL3734718";"1";"Scientific Literature";"Eur J Med Chem";"2015";"None";"";""
"CHEMBL3735428";"";"None";"428.50";"0";"2.98";"16d";"CN1CCN(c2ccc3nc(-c4ccc5c(c4)OCCO5)c(-c4ccncc4)n3n2)CC1";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3736772";"Inhibition of human recombinant CDK5/P25 expressed in Escherichia coli using histone H1 substrate after 30 mins by scintillation and luminescence counting method in presence of [gamma-33P]ATP";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1907600";"Cyclin-dependent kinase 5/CDK5 activator 1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL3734718";"1";"Scientific Literature";"Eur J Med Chem";"2015";"None";"";""
"CHEMBL174025";"";"None";"307.26";"0";"3.10";"14";"O=C1C(c2c(O)[nH]c3ccc([N+](=O)[O-])cc23)=Nc2ccccc21";"IC50";"'='";"25000.0";"nM";"4.60";"";"";"UO_0000065";"14.98";"0.27";"1.50";"4.24";"0";"CHEMBL1044713";"Inhibition of GST-fused CDK5/p25 expressed in Escherichia coli assessed as [gamma-33P]ATP incorporation after 10 mins by scintillation counting";"B";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1907600";"Cyclin-dependent kinase 5/CDK5 activator 1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1152528";"1";"Scientific Literature";"Bioorg Med Chem";"2009";"None";"";""
"CHEMBL78264";"";"None";"245.29";"0";"3.73";"6";"c1ccc2c(-c3cc4[nH]ccnc-4n3)cccc2c1";"IC50";"'='";"80000.0";"nM";"4.10";"";"";"UO_0000065";"16.70";"0.29";"0.37";"9.86";"0";"CHEMBL663599";"Inhibitory activity against recombinant mammalian cyclin-dependent kinase 5 (p35 NCK5a) expressed in Escherichia coli";"B";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1907600";"Cyclin-dependent kinase 5/CDK5 activator 1";"Homo sapiens";"PROTEIN COMPLEX";"CHEMBL1145099";"1";"Scientific Literature";"J Med Chem";"2003";"None";"";""
