"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type"
"CHEMBL393492";"";"None";"379.50";"0";"3.25";"12d";"COc1ccccc1N1CCN(CCCCN2Cc3ccccc3C2=O)CC1";"Ki";"'='";"75.4";"nM";"7.12";"";"";"UO_0000065";"18.77";"0.35";"3.87";"19.77";"0";"CHEMBL898622";"Displacement of [3H]SCH 23390 from human Dopamine D5 receptor expressed in HEK293";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1850";"Dopamine D5 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1149628";"1";"Scientific Literature";"Bioorg Med Chem";"2007";"None";"";""
"CHEMBL238916";"";"None";"467.51";"0";"3.45";"9c";"O=C1c2ccccc2S(=O)(=O)N1CCCCN1CCN(c2cccc(C(F)(F)F)c2)CC1";"Ki";"'='";"1756.0";"nM";"5.75";"";"";"UO_0000065";"12.31";"0.25";"2.31";"9.45";"1";"CHEMBL898622";"Displacement of [3H]SCH 23390 from human Dopamine D5 receptor expressed in HEK293";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1850";"Dopamine D5 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1149628";"1";"Scientific Literature";"Bioorg Med Chem";"2007";"None";"";""
"CHEMBL238915";"";"None";"433.96";"0";"3.09";"9b";"O=C1c2ccccc2S(=O)(=O)N1CCCCN1CCN(c2ccc(Cl)cc2)CC1";"Ki";"'='";"230.0";"nM";"6.64";"";"";"UO_0000065";"15.30";"0.31";"3.55";"10.89";"1";"CHEMBL898622";"Displacement of [3H]SCH 23390 from human Dopamine D5 receptor expressed in HEK293";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1850";"Dopamine D5 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1149628";"1";"Scientific Literature";"Bioorg Med Chem";"2007";"None";"";""
"CHEMBL197796";"";"None";"455.63";"0";"3.52";"6g";"COc1ccc(NC(=O)N2CCN(c3ccc(SC)cc3)CC2)cc1N1CCN(C)CC1";"Ki";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL884724";"Affinity towards cloned Dopamine receptor D5";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1850";"Dopamine D5 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1143467";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2005";"None";"";""
"CHEMBL591685";"";"None";"328.84";"0";"3.56";"21a";"CN1CCc2cc(Cl)c(O)cc2[C@H]2c3cccc(N)c3CC[C@@H]21";"Ki";"'='";"7.0";"nM";"8.15";"";"";"UO_0000065";"24.80";"0.48";"4.59";"16.48";"0";"CHEMBL1073808";"Binding affinity to dopamine D5 receptor";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1850";"Dopamine D5 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1156835";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"None";"";""
"CHEMBL540613";"";"None";"333.83";"0";"3.71";"5f";"C=CCN(C)[C@@H]1Cc2cc(F)c(O)cc2[C@H]1c1ccccc1.Cl";"Ki";"'='";"13000.0";"nM";"4.89";"";"";"UO_0000065";"16.43";"0.30";"1.18";"20.82";"0";"CHEMBL839015";"Inhibitory constant for [3H]SCH-23390 binding to Dopamine receptor D1-like of porcine striatal membranes";"B";"BAO_0000019";"assay format";"Sus scrofa";"None";"None";"None";"None";"";"";"";"CHEMBL1850";"Dopamine D5 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1143580";"1";"Scientific Literature";"J Med Chem";"2005";"None";"";""
"CHEMBL1258452";"";"None";"320.43";"0";"2.95";"13";"CCCCN1CCC(COC(=O)c2ccc(N)c(OC)c2)CC1";"Ki";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1259911";"Binding affinity to human dopamine D5 receptor";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1850";"Dopamine D5 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1255169";"1";"Scientific Literature";"J Med Chem";"2010";"None";"";""
"CHEMBL2420895";"";"None";"360.29";"0";"4.80";"14b";"Clc1cccc(N2CCN(Cc3c[nH]c4ccccc34)CC2)c1Cl";"Ki";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL2423801";"Binding affinity to human dopamine D5 receptor by radioligand binding assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1850";"Dopamine D5 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2417399";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2013";"None";"";""
"CHEMBL2420782";"";"None";"371.31";"1";"5.47";"9b";"Clc1cccc(N2CCN(Cc3cccc4ccccc34)CC2)c1Cl";"Ki";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL2423801";"Binding affinity to human dopamine D5 receptor by radioligand binding assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1850";"Dopamine D5 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2417399";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2013";"None";"";""
"CHEMBL213492";"";"None";"531.94";"2";"5.62";"34";"CN1CCN(C2=Nc3cc(Cl)ccc3N(NC(=O)c3c(F)cccc3C(F)(F)F)c3ccccc32)CC1";"Ki";"'='";"7.0";"nM";"8.15";"";"";"UO_0000065";"15.33";"0.30";"2.53";"15.93";"0";"CHEMBL870479";"Binding affinity at dopamine D5 receptor";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1850";"Dopamine D5 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1146871";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"None";"";""
"CHEMBL328866";"";"None";"427.93";"0";"3.70";"5c";"COc1cc(NC(=O)C2CC2)c(Cl)cc1C(=O)N[C@H]1CCN(Cc2ccccc2)C1";"Ki";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL675951";"Compound was tested for the Binding affinity against Human cloned Dopamine receptor D5 by Radio ligand ([3H]SCH-23390) binding assay";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1850";"Dopamine D5 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1129789";"1";"Scientific Literature";"J Med Chem";"1996";"None";"";""
"CHEMBL535602";"";"None";"349.88";"0";"4.23";"21";"CCCN(C)[C@@H]1Cc2cc(F)c(OC)cc2[C@H]1c1ccccc1.Cl";"Ki";"'='";"20000.0";"nM";"4.70";"";"";"UO_0000065";"14.99";"0.28";"0.47";"37.68";"0";"CHEMBL839015";"Inhibitory constant for [3H]SCH-23390 binding to Dopamine receptor D1-like of porcine striatal membranes";"B";"BAO_0000019";"assay format";"Sus scrofa";"None";"None";"None";"None";"";"";"";"CHEMBL1850";"Dopamine D5 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1143580";"1";"Scientific Literature";"J Med Chem";"2005";"None";"";""
"CHEMBL535823";"";"None";"335.85";"0";"3.93";"5e";"CCCN(C)[C@@H]1Cc2cc(F)c(O)cc2[C@H]1c1ccccc1.Cl";"Ki";"'='";"16000.0";"nM";"4.80";"";"";"UO_0000065";"16.02";"0.30";"0.87";"20.43";"0";"CHEMBL839015";"Inhibitory constant for [3H]SCH-23390 binding to Dopamine receptor D1-like of porcine striatal membranes";"B";"BAO_0000019";"assay format";"Sus scrofa";"None";"None";"None";"None";"";"";"";"CHEMBL1850";"Dopamine D5 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1143580";"1";"Scientific Literature";"J Med Chem";"2005";"None";"";""
"CHEMBL270595";"";"None";"176.26";"0";"1.72";"43";"c1ccc(CCN2CCCC2)nc1";"Ki";"";"";"";"";"";"Not Determined";"";"";"";"";"";"0";"CHEMBL2033371";"Inhibition of D5 dopamine receptor";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1850";"Dopamine D5 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2029272";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2012";"None";"";""
"CHEMBL426317";"";"None";"373.46";"0";"0.55";"5";"COc1cccc(N2CCN(CCCCn3ncc(=O)n(C)c3=O)CC2)c1";"Ki";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL861211";"Binding affinity to D5 dopamine receptor by radioligand binding assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1850";"Dopamine D5 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1146943";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"None";"";""
"CHEMBL379662";"";"None";"281.40";"0";"3.32";"3l";"COc1cccc2c1Cc1ccccc1CCN(C)CC2";"Ki";"";"";"";"";"";"Not Determined";"";"";"";"";"";"0";"CHEMBL861438";"Binding affinity to D5 dopamine receptor by radioligand binding assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1850";"Dopamine D5 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138197";"1";"Scientific Literature";"J Med Chem";"2006";"None";"";""
"CHEMBL203689";"";"None";"267.37";"0";"3.01";"3k";"CN1CCc2ccccc2Cc2c(O)cccc2CC1";"Ki";"";"";"";"";"";"Not Determined";"";"";"";"";"";"0";"CHEMBL861438";"Binding affinity to D5 dopamine receptor by radioligand binding assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1850";"Dopamine D5 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138197";"1";"Scientific Literature";"J Med Chem";"2006";"None";"";""
"CHEMBL1632174";"";"None";"427.55";"0";"3.51";"30";"O=C(O)CCCCCN1CCC(CNC(=O)c2c3n(c4ccccc24)CCCO3)CC1";"Ki";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL1640624";"Binding affinity to dopamine receptor D5";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1850";"Dopamine D5 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1629440";"1";"Scientific Literature";"Bioorg Med Chem";"2010";"None";"";""
"CHEMBL600987";"";"None";"399.92";"0";"4.12";"17e";"CCNC(=O)Nc1ccc2c(c1)CC[C@H]1[C@H]2c2cc(O)c(Cl)cc2CCN1C";"Ki";"'='";"7.1";"nM";"8.15";"";"";"UO_0000065";"20.38";"0.40";"4.03";"12.61";"0";"CHEMBL1073808";"Binding affinity to dopamine D5 receptor";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1850";"Dopamine D5 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1156835";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"None";"";""
"CHEMBL4637246";"";"None";"296.37";"0";"2.74";"19a";"COc1cc2c3c(c1O)-c1cc(N)ccc1CC3N(C)CC2";"Ki";"'='";"418.0";"nM";"6.38";"";"";"UO_0000065";"21.52";"0.40";"3.64";"10.86";"0";"CHEMBL4628382";"Binding affinity to human D5 receptor";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1850";"Dopamine D5 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4627308";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2020";"None";"";""
"CHEMBL597909";"";"None";"406.94";"0";"3.35";"17c";"CN1CCc2cc(Cl)c(O)cc2[C@H]2c3ccc(NS(C)(=O)=O)cc3CC[C@@H]21";"Ki";"'='";"5.8";"nM";"8.24";"";"";"UO_0000065";"20.24";"0.42";"4.89";"11.83";"0";"CHEMBL1073808";"Binding affinity to dopamine D5 receptor";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1850";"Dopamine D5 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1156835";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"None";"";""
"CHEMBL324017";"";"None";"332.24";"0";"3.77";"SKF83,566";"CN1CCc2cc(Br)c(O)cc2C(c2ccccc2)C1";"Ki";"'='";"3.95";"nM";"8.40";"";"";"UO_0000065";"25.29";"0.57";"4.63";"35.80";"0";"CHEMBL4625242";"Displacement of [3H]SCH23390 from dopamine D5 receptor (unknown origin)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1850";"Dopamine D5 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4622940";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2020";"None";"";""
